Iteration, 0deg_ns, 180deg_ns
1, 5375, 4500
2, 3625, 3583
3, 4500, 3541
4, 4417, 3042
5, 3666, 2833
6, 3542, 4292
7, 4000, 3500
8, 4083, 4417
9, 3917, 3750
10, 4500, 4750
11, 4292, 2833
12, 3458, 4250
13, 3792, 3834
14, 3709, 3334
15, 5000, 3958
16, 4000, 4041
17, 3292, 4250
18, 4375, 3167
19, 3542, 2875
20, 3792, 3209
21, 4208, 3292
22, 3958, 3500
23, 3250, 3792
24, 3041, 4083
25, 4958, 3708
26, 3958, 3708
27, 3917, 4625
28, 3500, 3875
29, 4042, 3375
30, 3958, 3541
31, 3959, 3333
32, 3667, 3875
33, 3500, 3458
34, 3708, 2833
35, 3708, 3292
36, 4375, 3458
37, 3958, 4000
38, 4042, 4625
39, 4375, 3541
40, 5083, 3500
41, 4167, 4375
42, 3958, 4000
43, 4792, 3792
44, 4041, 3417
45, 4792, 4125
46, 4333, 4625
47, 4042, 3125
48, 4375, 3542
49, 4041, 3292
50, 4666, 3084
51, 3500, 4292
52, 3541, 4542
53, 3750, 3125
54, 4584, 4292
55, 3958, 4375
56, 4333, 3542
57, 4333, 3333
58, 3584, 3375
59, 4083, 3083
60, 3916, 3375
61, 3958, 3292
62, 3708, 4042
63, 3958, 3667
64, 3750, 3250
65, 3500, 3875
66, 4959, 3792
67, 4666, 3667
68, 3750, 3250
69, 4459, 4458
70, 4125, 4959
71, 4583, 3208
72, 4292, 3500
73, 4000, 3792
74, 3375, 3708
75, 3375, 3583
76, 3458, 3666
77, 3333, 3542
78, 3875, 4042
79, 3334, 3167
80, 3333, 3042
81, 3333, 4375
82, 3333, 3708
83, 3541, 3667
84, 3875, 3584
85, 4167, 4875
86, 3334, 3833
87, 3916, 4583
88, 3709, 3583
89, 3917, 3708
90, 3333, 4708
91, 3334, 3209
92, 3500, 3667
93, 3792, 3959
94, 4792, 3708
95, 3542, 3625
96, 4083, 4584
97, 3375, 3792
98, 3333, 4375
99, 4791, 4625
100, 3875, 4916
