Iteration, 0deg_ns, 180deg_ns
1, 4916, 3459
2, 3292, 3875
3, 4625, 3625
4, 4250, 3791
5, 3167, 4250
6, 3541, 3500
7, 3167, 3167
8, 3250, 4333
9, 5292, 3500
10, 4375, 4250
11, 3666, 3666
12, 3500, 3333
13, 3167, 3750
14, 3625, 2834
15, 3416, 3083
16, 3083, 3042
17, 3292, 3416
18, 5333, 3583
19, 4291, 3750
20, 5000, 4208
21, 3958, 3042
22, 3542, 3709
23, 3667, 2834
24, 4083, 4333
25, 3750, 3000
26, 3750, 3042
27, 3250, 3375
28, 3375, 3334
29, 3666, 3750
30, 2916, 2792
31, 3625, 3208
32, 3750, 3042
33, 3292, 4125
34, 3500, 3625
35, 3417, 3541
36, 4125, 4041
37, 3459, 3500
38, 3542, 2750
39, 3500, 4084
40, 3334, 2875
41, 3500, 3208
42, 3750, 2834
43, 3083, 3750
44, 3458, 4542
45, 3875, 3166
46, 3334, 3125
47, 3584, 3708
48, 4542, 3875
49, 5166, 3125
50, 4000, 3417
51, 3708, 3667
52, 4041, 2417
53, 3083, 3250
54, 2833, 4750
55, 3875, 3125
56, 3125, 3167
57, 3542, 3209
58, 3791, 3500
59, 3667, 3500
60, 3375, 2875
61, 3417, 2708
62, 4166, 3083
63, 3000, 3166
64, 3750, 4208
65, 4000, 3500
66, 4209, 3292
67, 3458, 2916
68, 3417, 3292
69, 3791, 4917
70, 4583, 3375
71, 3709, 3250
72, 3708, 4542
73, 4083, 3042
74, 3500, 2666
75, 4875, 3292
76, 3750, 3125
77, 4167, 3292
78, 4208, 3417
79, 4542, 3583
80, 4084, 3125
81, 3708, 2875
82, 3334, 3542
83, 3875, 2875
84, 2875, 3541
85, 5791, 3542
86, 4000, 2959
87, 3167, 3083
88, 4583, 3292
89, 3083, 4000
90, 3334, 3583
91, 3542, 4042
92, 3833, 3167
93, 3709, 3500
94, 3083, 3875
95, 3291, 4084
96, 3791, 3583
97, 3166, 3375
98, 3750, 3500
99, 3375, 2875
100, 4791, 3416
