Iteration, 0deg_ns, 180deg_ns
1, 445917, 324916
2, 288292, 284666
3, 332417, 294292
4, 286958, 278084
5, 276208, 280333
6, 289708, 278834
7, 284291, 282459
8, 285041, 275833
9, 341917, 284708
10, 285500, 327542
11, 298584, 283750
12, 277625, 285083
13, 330292, 367625
14, 316041, 288125
15, 280000, 288167
16, 275917, 286000
17, 282125, 291959
18, 339292, 302166
19, 284667, 287084
20, 285959, 282667
21, 335416, 321792
22, 300000, 294708
23, 412041, 302042
24, 336667, 290625
25, 281083, 339167
26, 305000, 346292
27, 282500, 279541
28, 291250, 313917
29, 287792, 282500
30, 282792, 282084
31, 279792, 284000
32, 279750, 279208
33, 280417, 276292
34, 288833, 283417
35, 283834, 280417
36, 277875, 298750
37, 290416, 286834
38, 286667, 278209
39, 330375, 303417
40, 392208, 271667
41, 308417, 283167
42, 325416, 290125
43, 284583, 280709
44, 286875, 274917
45, 288709, 276375
46, 285083, 278209
47, 278416, 280500
48, 282625, 283958
49, 278708, 280083
50, 335666, 295542
51, 281166, 293166
52, 280458, 302333
53, 330500, 335708
54, 289916, 304875
55, 314584, 305083
56, 298542, 305583
57, 290708, 291000
58, 271583, 282167
59, 276375, 286542
60, 281958, 296917
61, 273167, 297042
62, 280542, 291333
63, 279084, 287584
64, 284292, 285500
65, 282542, 307708
66, 272875, 284166
67, 281875, 296500
68, 286500, 311041
69, 277375, 303292
70, 307458, 349834
71, 287541, 280500
72, 292042, 293959
73, 277834, 306000
74, 277125, 282666
75, 276000, 282500
76, 279750, 276708
77, 340750, 292125
78, 285167, 287167
79, 284917, 292541
80, 306709, 341541
81, 291458, 359459
82, 287708, 289333
83, 300250, 299292
84, 287625, 336667
85, 297833, 305375
86, 286416, 293500
87, 382500, 282250
88, 284334, 282000
89, 284417, 279125
90, 289000, 282416
91, 291084, 284958
92, 271625, 302916
93, 288125, 283750
94, 282833, 282958
95, 279791, 300625
96, 271875, 283125
97, 273291, 323583
98, 288417, 287959
99, 282917, 338916
100, 281417, 366167
