Iteration, 0deg_ns, 180deg_ns
1, 347709, 289917
2, 284416, 321750
3, 342583, 308750
4, 381250, 281334
5, 280541, 307625
6, 279417, 282125
7, 286125, 286042
8, 322042, 282666
9, 291583, 281208
10, 282208, 278458
11, 286709, 279125
12, 283666, 291917
13, 269375, 280250
14, 335333, 284416
15, 310875, 288792
16, 282167, 278208
17, 289208, 315000
18, 288208, 302917
19, 307834, 291833
20, 331833, 296583
21, 279084, 283041
22, 282917, 293709
23, 287416, 290000
24, 275375, 291541
25, 294083, 290334
26, 275750, 290833
27, 282042, 292583
28, 276000, 288250
29, 276875, 291959
30, 334541, 299375
31, 280958, 314042
32, 288209, 295667
33, 336709, 337584
34, 286583, 279041
35, 281334, 296709
36, 284875, 287291
37, 286375, 288791
38, 277167, 277708
39, 279167, 277083
40, 283042, 278625
41, 282875, 314333
42, 286208, 285792
43, 283834, 283250
44, 331167, 288208
45, 324667, 287792
46, 280916, 283750
47, 284875, 337333
48, 296875, 330875
49, 302625, 283875
50, 290542, 281000
51, 283875, 287792
52, 278625, 285292
53, 283291, 280791
54, 284375, 270250
55, 284458, 275584
56, 287333, 333500
57, 299667, 286375
58, 279875, 285042
59, 317917, 329125
60, 288917, 288375
61, 285541, 317625
62, 361125, 291709
63, 283458, 274875
64, 380708, 282500
65, 279833, 280333
66, 267167, 281542
67, 273291, 286125
68, 278583, 290917
69, 303416, 287417
70, 283583, 284917
71, 275959, 338292
72, 309084, 296708
73, 287375, 280583
74, 283625, 339625
75, 286958, 358042
76, 284375, 286208
77, 279208, 360791
78, 284542, 272709
79, 313375, 355791
80, 285875, 272833
81, 280125, 348291
82, 286125, 289333
83, 286625, 281959
84, 336417, 289541
85, 354667, 269833
86, 292458, 317916
87, 399791, 286458
88, 291584, 276708
89, 283250, 273334
90, 282917, 274667
91, 298417, 280042
92, 286666, 272541
93, 295458, 275666
94, 336875, 289542
95, 329375, 294792
96, 295541, 354750
97, 277500, 281708
98, 339833, 339667
99, 311417, 283250
100, 285917, 275375
